"","id","gender","education","iq"
"1",1,"male","high",123.262178963675
"2",2,"male","none",96.1953071295222
"3",3,"male","low",94.2108839851151
"4",4,"female","high",92.0230843386378
"5",5,"male","average",114.184851271647
"6",6,"male","average",67.5470545335678
"7",7,"female","high",115.435689091958
"8",8,"male","low",74.2405162346788
"9",9,"female","high",117.831517619988
"10",10,"female","high",96.4433313690814
"11",11,"female","average",134.088093671687
"12",12,"male","high",74.2698777075509
"13",13,"male","none",90.088768629722
"14",14,"female","low",104.305508810013
"15",15,"male","average",105.801477364866
"16",16,"male","none",71.5135849133211
"17",17,"female","none",98.2678783346456
"18",18,"female","low",69.036861720349
"19",19,"female","average",110.861840634651
"20",20,"female","average",89.7677629121787
"21",21,"female","high",107.281809557029
"22",22,"male","low",122.185471250554
"23",23,"male","none",103.572744264159
"24",24,"male","none",116.197873884522
"25",25,"male","low",98.1074525322033
"26",26,"male","average",100.714958057844
"27",27,"female","average",111.209250740799
"28",28,"female","high",100.627878681876
"29",29,"male","average",93.526783745299
"30",30,"female","high",79.7377883527937
"31",31,"female","high",120.003332443877
"32",32,"female","high",139.481065205877
"33",33,"female","average",119.174418078201
"34",34,"male","high",120.851934416174
"35",35,"male","low",87.6251518254168
"36",36,"male","high",102.230668299504
"37",37,"female","low",102.093270529125
"38",38,"male","low",111.970129870298
"39",39,"female","high",93.6939391791043
"40",40,"male","average",84.0016888550943
"41",41,"male","average",97.2122747357638
"42",42,"female","average",156.296550180809
"43",43,"female","low",93.0564193707657
"44",44,"female","none",119.731665032151
"45",45,"female","average",66.3376350294301
"46",46,"male","none",159.363477705588
"47",47,"female","high",70.6701479096202
"48",48,"male","average",102.810206131927
"49",49,"male","none",100.887533507945
"50",50,"female","average",96.3914266857058
"51",51,"male","low",67.1339935559459
"52",52,"female","low",80.2583169235238
"53",53,"female","average",122.196024446933
"54",54,"male","high",103.184509710444
"55",55,"female","low",99.057350703981
"56",56,"male","high",106.354155105011
"57",57,"male","high",103.522018541517
"58",58,"male","low",103.323829584778
"59",59,"male","low",115.624199504127
"60",60,"female","average",112.336563722568
"61",61,"male","high",126.041985687585
"62",62,"male","none",98.3423781037828
"63",63,"female","high",106.986622159275
"64",64,"male","average",56.7597311978812
"65",65,"female","high",126.769861952855
"66",66,"male","low",117.893664613319
"67",67,"female","low",95.9415716223603
"68",68,"female","high",137.872238527126
"69",69,"male","high",95.176396595378
"70",70,"male","low",107.040713884965
"71",71,"female","low",70.4938824483189
"72",72,"male","low",104.253450746738
"73",73,"male","low",84.5081152719638
"74",74,"male","average",87.4209411798795
"75",75,"male","low",138.025961728264
"76",76,"female","high",123.52913081784
"77",77,"female","low",86.192333245691
"78",78,"female","average",119.140139226305
"79",79,"male","average",120.318298542413
"80",80,"male","low",111.97627645171
"81",81,"female","average",100.242325796812
"82",82,"female","low",105.413085007951
"83",83,"male","average",117.219359402423
"84",84,"female","high",92.3998131315466
"85",85,"female","high",131.15249514529
"86",86,"male","average",97.6314979554505
"87",87,"female","low",122.716938211422
"88",88,"female","low",105.384638041654
"89",89,"male","low",86.8388713070558
"90",90,"female","low",98.7344945860963
"91",91,"male","high",110.898993941889
"92",92,"male","low",88.5481743795407
"93",93,"female","low",88.0520118139844
"94",94,"male","none",111.842491137884
"95",95,"male","high",111.818828066808
"96",96,"female","high",121.850788362075
"97",97,"male","low",110.922391125818
"98",98,"male","average",118.47099109012
"99",99,"female","high",89.8707148046077
"100",100,"female","average",133.281753644559
"101",101,"male","average",113.178173126826
"102",102,"female","low",94.7596742368116
"103",103,"male","low",90.8748611886605
"104",104,"male","average",72.5602187921768
"105",105,"female","none",115.615635166783
"106",106,"male","none",68.8693476645918
"107",107,"male","high",127.454903845185
"108",108,"female","high",94.4717119816419
"109",109,"female","average",107.787882909293
"110",110,"female","low",81.0634737241591
"111",111,"male","average",116.623764622694
"112",112,"female","high",128.489468111739
"113",113,"female","high",95.3598610637416
"114",114,"male","average",127.616754053569
"115",115,"female","average",110.602100350379
"116",116,"female","average",109.58493279916
"117",117,"male","low",112.154860089948
"118",118,"male","low",85.8020559884477
"119",119,"male","average",92.6953182139393
"120",120,"female","high",70.505811370045
"121",121,"female","average",68.7887713909152
"122",122,"female","average",103.718611946462
"123",123,"male","average",73.5428289761775
"124",124,"male","average",96.8185570153188
"125",125,"male","high",66.8515091047428
"126",126,"female","average",123.215076318544
"127",127,"male","high",109.857274878898
"128",128,"female","none",82.3429388744939
"129",129,"female","low",107.624464264175
"130",130,"female","high",117.231557433847
"131",131,"female","high",67.131577093381
"132",132,"male","average",96.363085085228
"133",133,"male","average",97.7078283094562
"134",134,"male","none",108.187828826413
"135",135,"female","high",85.4496416804499
"136",136,"male","average",113.507331724027
"137",137,"male","high",94.6455457598654
"138",138,"female","low",88.4240730713628
"139",139,"male","high",72.7658330501247
"140",140,"male","average",50.844839227979
"141",141,"female","low",90.6580123675266
"142",142,"female","low",135.699996102734
"143",143,"male","average",113.387212586205
"144",144,"male","high",82.9265609205376
"145",145,"male","high",105.515446819683
"146",146,"female","high",62.7027308223077
